project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	aliquot_id	aliquot_submitter_id	aliquot_quantity	aliquot_volume	amount	analyte_type	analyte_type_id	concentration	no_matched_normal_low_pass_wgs	no_matched_normal_targeted_sequencing	no_matched_normal_wgs	no_matched_normal_wxs	selected_normal_low_pass_wgs	selected_normal_targeted_sequencing	selected_normal_wgs	selected_normal_wxs	source_center	state
TCGA-COAD	d3062aac-4c42-41b4-a9f3-90aa72e6fb1e	TCGA-F4-6569	c7b45c0c-23d8-4cde-a685-ab04aa0a088d	TCGA-F4-6569-10A	6ba2a9a2-2db5-4f43-a48f-53db7f7876e7	TCGA-F4-6569-10A-01	15a2fcba-c1af-4b4b-804c-dbf6325f2f5d	TCGA-F4-6569-10A-01W	454ba7d4-097b-42e9-8ac9-e6a0d7dd478b	TCGA-F4-6569-10A-01W-1811-10	'--	'--	'--	'--	'--	0.5	'--	'--	'--	'--	'--	'--	'--	'--	22	released
TCGA-COAD	d3062aac-4c42-41b4-a9f3-90aa72e6fb1e	TCGA-F4-6569	c7b45c0c-23d8-4cde-a685-ab04aa0a088d	TCGA-F4-6569-10A	6ba2a9a2-2db5-4f43-a48f-53db7f7876e7	TCGA-F4-6569-10A-01	883f3628-59b2-43e8-8e7a-d823ab5a5431	TCGA-F4-6569-10A-01D	34873327-4e9a-4243-b178-bb1cb4df411b	TCGA-F4-6569-10A-01D-1770-01	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	22	released
TCGA-COAD	d3062aac-4c42-41b4-a9f3-90aa72e6fb1e	TCGA-F4-6569	c7b45c0c-23d8-4cde-a685-ab04aa0a088d	TCGA-F4-6569-10A	6ba2a9a2-2db5-4f43-a48f-53db7f7876e7	TCGA-F4-6569-10A-01	883f3628-59b2-43e8-8e7a-d823ab5a5431	TCGA-F4-6569-10A-01D	7a40de19-e541-4bc0-a16e-3c0ca4cd82f4	TCGA-F4-6569-10A-01D-1771-10	'--	'--	'--	'--	'--	0.05	'--	'--	'--	'--	'--	'--	'--	'--	22	released
TCGA-COAD	d3062aac-4c42-41b4-a9f3-90aa72e6fb1e	TCGA-F4-6569	c7b45c0c-23d8-4cde-a685-ab04aa0a088d	TCGA-F4-6569-10A	6ba2a9a2-2db5-4f43-a48f-53db7f7876e7	TCGA-F4-6569-10A-01	883f3628-59b2-43e8-8e7a-d823ab5a5431	TCGA-F4-6569-10A-01D	d4598189-78b4-49bc-8c65-6c4c82d13259	TCGA-F4-6569-10A-01D-1865-23	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-COAD	d3062aac-4c42-41b4-a9f3-90aa72e6fb1e	TCGA-F4-6569	c7b45c0c-23d8-4cde-a685-ab04aa0a088d	TCGA-F4-6569-10A	6ba2a9a2-2db5-4f43-a48f-53db7f7876e7	TCGA-F4-6569-10A-01	883f3628-59b2-43e8-8e7a-d823ab5a5431	TCGA-F4-6569-10A-01D	b30580dc-0262-41cc-aca4-32ed7721a7fe	TCGA-F4-6569-10A-01D-1769-02	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	22	released
TCGA-COAD	d3062aac-4c42-41b4-a9f3-90aa72e6fb1e	TCGA-F4-6569	bbb4b282-5414-4929-a9f6-08b733d14fa7	TCGA-F4-6569-01A	c2dc1632-b46c-4d98-8188-f50b042b0a7c	TCGA-F4-6569-01A-11	7daddfe3-10d8-4c02-b9aa-f6c8c996c9f8	TCGA-F4-6569-01A-11R	37e5e5de-8f04-4123-ab14-213e1a569f72	TCGA-F4-6569-01A-11R-1774-07	'--	'--	'--	'--	'--	0.14	'--	'--	'--	'--	'--	'--	'--	'--	22	released
TCGA-COAD	d3062aac-4c42-41b4-a9f3-90aa72e6fb1e	TCGA-F4-6569	bbb4b282-5414-4929-a9f6-08b733d14fa7	TCGA-F4-6569-01A	c2dc1632-b46c-4d98-8188-f50b042b0a7c	TCGA-F4-6569-01A-11	7060abf7-f2d3-4d41-b508-187429e15c27	TCGA-F4-6569-01A-11D	dc9c9c6c-a35a-4ae0-a974-f67da5145d5c	TCGA-F4-6569-01A-11D-1772-05	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	22	released
TCGA-COAD	d3062aac-4c42-41b4-a9f3-90aa72e6fb1e	TCGA-F4-6569	bbb4b282-5414-4929-a9f6-08b733d14fa7	TCGA-F4-6569-01A	c2dc1632-b46c-4d98-8188-f50b042b0a7c	TCGA-F4-6569-01A-11	7060abf7-f2d3-4d41-b508-187429e15c27	TCGA-F4-6569-01A-11D	366eea5f-2442-4354-aa87-8ff7d33c7957	TCGA-F4-6569-01A-11D-1865-23	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-COAD	d3062aac-4c42-41b4-a9f3-90aa72e6fb1e	TCGA-F4-6569	bbb4b282-5414-4929-a9f6-08b733d14fa7	TCGA-F4-6569-01A	c2dc1632-b46c-4d98-8188-f50b042b0a7c	TCGA-F4-6569-01A-11	7060abf7-f2d3-4d41-b508-187429e15c27	TCGA-F4-6569-01A-11D	aaabd525-1da5-4b0d-8917-cd99221fb67f	TCGA-F4-6569-01A-11D-1769-02	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	22	released
TCGA-COAD	d3062aac-4c42-41b4-a9f3-90aa72e6fb1e	TCGA-F4-6569	bbb4b282-5414-4929-a9f6-08b733d14fa7	TCGA-F4-6569-01A	c2dc1632-b46c-4d98-8188-f50b042b0a7c	TCGA-F4-6569-01A-11	7060abf7-f2d3-4d41-b508-187429e15c27	TCGA-F4-6569-01A-11D	ab255e33-b0ff-49b6-8208-2eb2ef9488b2	TCGA-F4-6569-01A-11D-1771-10	'--	'--	'--	'--	'--	0.05	'--	'--	'--	'--	'--	'--	'--	'--	22	released
TCGA-COAD	d3062aac-4c42-41b4-a9f3-90aa72e6fb1e	TCGA-F4-6569	bbb4b282-5414-4929-a9f6-08b733d14fa7	TCGA-F4-6569-01A	c2dc1632-b46c-4d98-8188-f50b042b0a7c	TCGA-F4-6569-01A-11	7060abf7-f2d3-4d41-b508-187429e15c27	TCGA-F4-6569-01A-11D	c9040eda-d8ea-48ce-9894-55902b9a0157	TCGA-F4-6569-01A-11D-1770-01	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	22	released
TCGA-COAD	d3062aac-4c42-41b4-a9f3-90aa72e6fb1e	TCGA-F4-6569	bbb4b282-5414-4929-a9f6-08b733d14fa7	TCGA-F4-6569-01A	c2dc1632-b46c-4d98-8188-f50b042b0a7c	TCGA-F4-6569-01A-11	e8e0bf42-73be-4ef9-bbc3-dc1c7c58312e	TCGA-F4-6569-01A-11H	5d83e6fd-a7df-47ba-a6dd-83ccdcd60a92	TCGA-F4-6569-01A-11H-1773-13	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	22	released
TCGA-COAD	d3062aac-4c42-41b4-a9f3-90aa72e6fb1e	TCGA-F4-6569	bbb4b282-5414-4929-a9f6-08b733d14fa7	TCGA-F4-6569-01A	c2dc1632-b46c-4d98-8188-f50b042b0a7c	TCGA-F4-6569-01A-11	f88ce122-975f-445f-ba0e-8c528d4ac7b6	TCGA-F4-6569-01A-11W	5702bdd5-a731-4a66-adcb-d7ff1a5a9026	TCGA-F4-6569-01A-11W-1811-10	'--	'--	'--	'--	'--	0.5	'--	'--	'--	'--	'--	'--	'--	'--	22	released
TCGA-COAD	265d7b06-65fe-42c5-ad21-e6b160e94718	TCGA-AA-3552	bfb37e67-9884-40a9-802e-edaaa9059b5e	TCGA-AA-3552-10A	0442734d-d4cc-4928-b42a-eedc73d1dc2f	TCGA-AA-3552-10A-01	3db0076a-a4e2-4653-97a1-3f204e26df95	TCGA-AA-3552-10A-01D	33337ba6-fb4a-460a-aecb-477d61f829c7	TCGA-AA-3552-10A-01D-1953-10	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	22	released
