project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	aliquot_id	aliquot_submitter_id	aliquot_quantity	aliquot_volume	amount	analyte_type	analyte_type_id	concentration	no_matched_normal_low_pass_wgs	no_matched_normal_targeted_sequencing	no_matched_normal_wgs	no_matched_normal_wxs	selected_normal_low_pass_wgs	selected_normal_targeted_sequencing	selected_normal_wgs	selected_normal_wxs	source_center	state
TCGA-STAD	c63ae423-c90a-4cf4-aa42-653bb8fa3e69	TCGA-CD-A486	49432f7b-44c0-4834-8bde-bcd9b58af2f8	TCGA-CD-A486-01A	bab7d0d7-4f14-4ed4-b8e4-b9e760f57246	TCGA-CD-A486-01A-31-A646-42	b33ae057-73ec-477f-9c92-f5b24a2a588c	TCGA-CD-A486-01A-31-A646-42-X041-S02	461392e1-0fdf-4f8c-ad99-66d582f0b3bc	TCGA-CD-A486-01A-31-A646-42-X041-S02_aliquot	'--	'--	'--	DNA	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	released
TCGA-STAD	c63ae423-c90a-4cf4-aa42-653bb8fa3e69	TCGA-CD-A486	49432f7b-44c0-4834-8bde-bcd9b58af2f8	TCGA-CD-A486-01A	a811a266-6e1b-43fd-a7e8-b0c38b2b376a	TCGA-CD-A486-01A-11	29e9092c-ef92-4ab5-bbca-58c221df9f43	TCGA-CD-A486-01A-11R	29f00132-41d9-4592-9193-29135a0f14db	TCGA-CD-A486-01A-11R-A24K-31	'--	'--	'--	'--	'--	0.16	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	c63ae423-c90a-4cf4-aa42-653bb8fa3e69	TCGA-CD-A486	49432f7b-44c0-4834-8bde-bcd9b58af2f8	TCGA-CD-A486-01A	a811a266-6e1b-43fd-a7e8-b0c38b2b376a	TCGA-CD-A486-01A-11	29e9092c-ef92-4ab5-bbca-58c221df9f43	TCGA-CD-A486-01A-11R	baa7e9f9-358b-4d92-93a1-b3df013e42d8	TCGA-CD-A486-01A-11R-A24L-13	'--	'--	'--	'--	'--	0.16	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	c63ae423-c90a-4cf4-aa42-653bb8fa3e69	TCGA-CD-A486	49432f7b-44c0-4834-8bde-bcd9b58af2f8	TCGA-CD-A486-01A	a811a266-6e1b-43fd-a7e8-b0c38b2b376a	TCGA-CD-A486-01A-11	23738b5e-21df-437c-a927-2d7d5c65f52c	TCGA-CD-A486-01A-11D	f6c36303-a915-4d8e-85de-27f80cf0f4ba	TCGA-CD-A486-01A-01D-YYYY-23	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	c63ae423-c90a-4cf4-aa42-653bb8fa3e69	TCGA-CD-A486	49432f7b-44c0-4834-8bde-bcd9b58af2f8	TCGA-CD-A486-01A	a811a266-6e1b-43fd-a7e8-b0c38b2b376a	TCGA-CD-A486-01A-11	23738b5e-21df-437c-a927-2d7d5c65f52c	TCGA-CD-A486-01A-11D	57eaefe8-c04b-4ec8-b786-a8a9dd6b5db1	TCGA-CD-A486-01A-11D-A24C-01	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	c63ae423-c90a-4cf4-aa42-653bb8fa3e69	TCGA-CD-A486	49432f7b-44c0-4834-8bde-bcd9b58af2f8	TCGA-CD-A486-01A	a811a266-6e1b-43fd-a7e8-b0c38b2b376a	TCGA-CD-A486-01A-11	23738b5e-21df-437c-a927-2d7d5c65f52c	TCGA-CD-A486-01A-11D	a4d1d83a-430b-48d9-a031-6edb271e3cd5	TCGA-CD-A486-01A-11D-A703-36	'--	'--	'--	'--	'--	0.02	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	c63ae423-c90a-4cf4-aa42-653bb8fa3e69	TCGA-CD-A486	49432f7b-44c0-4834-8bde-bcd9b58af2f8	TCGA-CD-A486-01A	a811a266-6e1b-43fd-a7e8-b0c38b2b376a	TCGA-CD-A486-01A-11	23738b5e-21df-437c-a927-2d7d5c65f52c	TCGA-CD-A486-01A-11D	440ca8e3-fc28-407a-89a2-384bad6a1b6f	TCGA-CD-A486-01A-11D-A24I-05	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	c63ae423-c90a-4cf4-aa42-653bb8fa3e69	TCGA-CD-A486	49432f7b-44c0-4834-8bde-bcd9b58af2f8	TCGA-CD-A486-01A	a811a266-6e1b-43fd-a7e8-b0c38b2b376a	TCGA-CD-A486-01A-11	23738b5e-21df-437c-a927-2d7d5c65f52c	TCGA-CD-A486-01A-11D	77af2c45-a9b7-4405-a8b7-74145ce9eab8	TCGA-CD-A486-01A-11D-A24D-08	'--	'--	'--	'--	'--	0.07	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	c63ae423-c90a-4cf4-aa42-653bb8fa3e69	TCGA-CD-A486	49432f7b-44c0-4834-8bde-bcd9b58af2f8	TCGA-CD-A486-01A	a811a266-6e1b-43fd-a7e8-b0c38b2b376a	TCGA-CD-A486-01A-11	4156a0eb-0586-45da-a385-1ad2012f0284	TCGA-CD-A486-01A-11W	ede20b95-3dbd-4944-8ef1-750520af2f23	TCGA-CD-A486-01A-11W-A25J-08	'--	'--	'--	'--	'--	0.5	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	c63ae423-c90a-4cf4-aa42-653bb8fa3e69	TCGA-CD-A486	48309aec-3bf8-4602-b153-04b25f2c8428	TCGA-CD-A486-10A	05f87bf7-e7be-4d9b-8903-644b19a229d8	TCGA-CD-A486-10A-01	7c154bc2-76a7-423c-94dc-2df9c06df781	TCGA-CD-A486-10A-01W	0a7d824c-a673-49e7-9abe-4acf226d6def	TCGA-CD-A486-10A-01W-A25K-08	'--	'--	'--	'--	'--	0.5	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	c63ae423-c90a-4cf4-aa42-653bb8fa3e69	TCGA-CD-A486	48309aec-3bf8-4602-b153-04b25f2c8428	TCGA-CD-A486-10A	05f87bf7-e7be-4d9b-8903-644b19a229d8	TCGA-CD-A486-10A-01	df41bb18-51b5-4097-a074-fccbc2faa52e	TCGA-CD-A486-10A-01D	0864daef-882b-4ac4-b68a-4ba348a95cac	TCGA-CD-A486-10A-01D-A24E-01	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	c63ae423-c90a-4cf4-aa42-653bb8fa3e69	TCGA-CD-A486	48309aec-3bf8-4602-b153-04b25f2c8428	TCGA-CD-A486-10A	05f87bf7-e7be-4d9b-8903-644b19a229d8	TCGA-CD-A486-10A-01	df41bb18-51b5-4097-a074-fccbc2faa52e	TCGA-CD-A486-10A-01D	7c9b3916-1bf1-4230-9333-f5f8b2a4b962	TCGA-CD-A486-10A-01D-A703-36	'--	'--	'--	'--	'--	0.02	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	c63ae423-c90a-4cf4-aa42-653bb8fa3e69	TCGA-CD-A486	48309aec-3bf8-4602-b153-04b25f2c8428	TCGA-CD-A486-10A	05f87bf7-e7be-4d9b-8903-644b19a229d8	TCGA-CD-A486-10A-01	df41bb18-51b5-4097-a074-fccbc2faa52e	TCGA-CD-A486-10A-01D	d81273ea-476b-49af-b15e-12243b90f4ea	TCGA-CD-A486-10A-01D-A24F-08	'--	'--	'--	'--	'--	0.08	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	aa88ce53-8439-40bd-8d93-e1d903d1c7fb	TCGA-HU-A4GD	d455b7cc-07cd-4a4f-80cf-8022870fe994	TCGA-HU-A4GD-01A	71fe913c-bb73-4d89-a641-675f801f3011	TCGA-HU-A4GD-01A-11	a9a178c1-dc29-4761-abdd-0de26cb391d7	TCGA-HU-A4GD-01A-11D	e13c3dcf-0d40-4a73-9702-5b3f488f8ce2	TCGA-HU-A4GD-01A-11D-A36R-08	'--	'--	'--	'--	'--	0.08	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	aa88ce53-8439-40bd-8d93-e1d903d1c7fb	TCGA-HU-A4GD	d455b7cc-07cd-4a4f-80cf-8022870fe994	TCGA-HU-A4GD-01A	71fe913c-bb73-4d89-a641-675f801f3011	TCGA-HU-A4GD-01A-11	a9a178c1-dc29-4761-abdd-0de26cb391d7	TCGA-HU-A4GD-01A-11D	2dbf956c-bf56-4107-bd11-9b4d35764e59	TCGA-HU-A4GD-01A-01D-YYYY-23	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	aa88ce53-8439-40bd-8d93-e1d903d1c7fb	TCGA-HU-A4GD	d455b7cc-07cd-4a4f-80cf-8022870fe994	TCGA-HU-A4GD-01A	71fe913c-bb73-4d89-a641-675f801f3011	TCGA-HU-A4GD-01A-11	a9a178c1-dc29-4761-abdd-0de26cb391d7	TCGA-HU-A4GD-01A-11D	a2611370-a18e-46ca-a6dd-3af14eb6c278	TCGA-HU-A4GD-01A-11D-A254-05	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	23	released
